book_names,book_urls,author_name,avg_rating,no_of_ratings,img_src,my_rating,no_of_pages,image_name
"The Vampire Lestat (The Vampire Chronicles, #2)",https://www.goodreads.com/book/show/43814.The_Vampire_Lestat,Anne Rice,4.11,216541,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347515742i/43814._SY75_.jpg,0.0,481.0,cover_1322.png
"The American Roommate Experiment (Love Deception, #2)",https://www.goodreads.com/book/show/60114057-the-american-roommate-experiment,Elena Armas,3.79,267705,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660147951i/60114057._SY75_.jpg,0.0,400.0,cover_1323.png
The Measure,https://www.goodreads.com/book/show/58884736-the-measure,Nikki Erlick,3.97,369230,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656427584i/58884736._SY75_.jpg,0.0,353.0,cover_1324.png
"The Book of Life (All Souls, #3)",https://www.goodreads.com/book/show/18892998-the-book-of-life,Deborah Harkness,4.21,218793,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391546498i/18892998._SY75_.jpg,0.0,564.0,cover_1325.png
"Fracture Me (Shatter Me, #2.5)",https://www.goodreads.com/book/show/17331518-fracture-me,Tahereh Mafi,3.34,230188,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383413233i/17331518._SX50_.jpg,0.0,72.0,cover_1326.png
"Artificial Condition (The Murderbot Diaries, #2)",https://www.goodreads.com/book/show/36223860-artificial-condition,Martha Wells,4.25,212369,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505590203i/36223860._SY75_.jpg,0.0,158.0,cover_1327.png
"Neon Gods (Dark Olympus, #1)",https://www.goodreads.com/book/show/54659771-neon-gods,Katee Robert,3.68,307466,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1736519119i/54659771._SY75_.jpg,0.0,380.0,cover_1328.png
"Us Against You (Beartown, #2)",https://www.goodreads.com/book/show/36373463-us-against-you,Fredrik Backman,4.37,255166,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516019348i/36373463._SY75_.jpg,0.0,448.0,cover_1329.png
The Heaven & Earth Grocery Store,https://www.goodreads.com/book/show/65678550-the-heaven-earth-grocery-store,James McBride,3.92,318512,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1685350945i/65678550._SY75_.jpg,0.0,400.0,cover_1330.png
"The Happy Ever After Playlist (The Friend Zone, #2)",https://www.goodreads.com/book/show/50208350-the-happy-ever-after-playlist,Abby Jimenez,4.17,327472,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565190701l/50208350._SX50_SY75_.jpg,0.0,401.0,cover_1331.png
Cleopatra and Frankenstein,https://www.goodreads.com/book/show/57693262-cleopatra-and-frankenstein,Coco Mellors,3.69,229094,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1621624081i/57693262._SY75_.jpg,0.0,368.0,cover_1332.png
"Lady Midnight (The Dark Artifices, #1)",https://www.goodreads.com/book/show/25494343-lady-midnight,Cassandra Clare,4.35,244028,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460477682i/25494343._SY75_.jpg,0.0,688.0,cover_1333.png
The Lost Apothecary,https://www.goodreads.com/book/show/53288434-the-lost-apothecary,Sarah Penner,3.76,494863,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1593013000i/53288434._SY75_.jpg,0.0,301.0,cover_1334.png
"Entwined with You (Crossfire, #3)",https://www.goodreads.com/book/show/15731779-entwined-with-you,Sylvia Day,4.18,221405,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362526983i/15731779._SX50_.jpg,0.0,356.0,cover_1335.png
Spare,https://www.goodreads.com/book/show/62296528-spare,Prince Harry,3.83,428309,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673458354i/62296528._SY75_.jpg,0.0,410.0,cover_1336.png
Under the Banner of Heaven: A Story of Violent Faith,https://www.goodreads.com/book/show/10847.Under_the_Banner_of_Heaven,Jon Krakauer,4.01,224930,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356441391i/10847._SY75_.jpg,0.0,432.0,cover_1337.png
"Done and Dusted (Rebel Blue Ranch, #1)",https://www.goodreads.com/book/show/123179008-done-and-dusted,Lyla Sage,3.79,291489,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677968591i/123179008._SY75_.jpg,0.0,356.0,cover_1338.png
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",https://www.goodreads.com/book/show/45299992-if-you-tell,Gregg Olsen,3.98,351982,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556171767i/45299992._SY75_.jpg,0.0,431.0,cover_1339.png
